日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-10,小型,1,35,300,下午,12,,46,7,38,36,27,44,1504,1522,280,350,500,900,6,1,3,7,1,1602,60,80,80,30,60,90,下,46,7,38,36,27,44
2026-07-10,小型,2,40,400,下午,10,,14,12,23,18,37,,1534,1551,280,350,500,900,6,1,3,7,1,1602,60,80,80,30,60,90,中,14,12,23,18,37,
2026-07-10,小型,3,"45,46",400_2.4,下午,5,,8,3,22,28,15,,1609,1631,280,350,500,900,7,1,3,7,2,1640,60,80,80,30,60,90,下,8,3,22,28,15,
2026-07-10,中型,1,"1,2",800,上午,6,,5,3,4,,,,0750,0825,280,320,530,980,11,3,3,11,2,0835,60,90,90,30,60,90,下,5,3,4,,,
2026-07-10,中型,2,"2,3",800,上午,4,,6,1,,,,,0835,0915,280,320,530,980,11,5,3,11,3,0925,60,90,90,30,60,90,下,6,1,,,,
2026-07-10,中型,2,"2,3",700,上午,2,,,,3,,,,0835,0915,280,320,530,980,11,5,3,11,3,0925,60,90,90,30,60,90,下,,,3,,,
2026-07-10,中型,3,"9,10",E型 800,上午,6,,12,11,10,,,,0925,1005,270,320,530,930,12,6,3,11,1,1015,60,90,90,30,60,90,下,12,11,10,2,,
2026-07-10,中型,4,"16,17",700,上午,6,,6,7,2,,,,1015,1045,270,320,530,930,12,4,3,10,4,1145,60,90,90,30,60,90,下,6,7,2,,,
2026-07-10,中型,5,"19,20",E型 1000,上午,4,,4,5,,,,,1055,1135,290,340,530,980,10,4,3,11,4,1145,60,90,90,30,60,90,上,4,5,,,,
2026-07-10,中型,1,"21,22",E型 1200,下午,4,,4,2,,,,,1300,1345,340,480,600,1080,15,4,2,16,2,1355,60,85,85,30,60,90,下,4,2,,,,
2026-07-10,中型,2,"27,28",P900,下午,10,10,4,3,2,,,,1355,13500,290,380,580,860,13,4,2,10,3,1510,60,85,85,30,60,90,下,4,3,2,,,
2026-07-10,中型,3,"37,38",800,下午,6,,4,6,1,,,,1515,1550,280,320,530,980,13,4,3,11,1,1600,60,85,85,30,60,90,下,4,6,1,,,
2026-07-10,中型,4,"43,44",800,下午,4,,5,3,,,,,1600,1640,280,320,530,980,12,4,3,11,4,1650,60,85,85,30,60,90,下,5,3,,,,
2026-07-10,中型,4,"43,44",700,下午,2,,,,3,,,,1600,1640,280,320,530,980,12,4,3,11,4,1650,60,85,85,30,60,90,下,,,3,,,
