品項,模具可生產量
300,2
300_0.5,4
300_0.5A,4
300_2.4,1
300A,2
300_2.4A,1
300加厚,2
400,2
400_0.5,4
400_0.5A,4
400_2.4,1
400A,2
400_2.4A,1
400加厚,2
400加厚_0.5,2
500,2
500_0.5,4
500_0.5A,4
500_2.4,1
500_2.4A,1
500A,2
600,2
600_0.5,2
600_0.5A,2
600_2.4,1
600A,2
700,2
700_0.5,2
700_0.5A,2
700A,2
700_2.35,1
700_2.35A,1
800,2
800_0.5,2
800_0.5A,2
800A,2
E型 800,2
E型 800A,2
E型 800_1.1,1
E型 800_1.35,1
E型 800_2.35,1
E型 800_2.35A,1
900,2
P900,0
1000,2
1000A,2
E型 1000,2
E型 1000A,2
E型 1000_1.6,1
E型 1000_2.35,1
E型 1000_2.35A,1
1200,2
1200A,2
E型 1200,2
E型 1200_1.45,1
E型 1200A,2
E型 1200_2.35,1
E型 1200_2.35A,1
E型 1350,2
E型 1350_2.35,1
T型 800_1.1,1
T型 1000_1.15,1
T型 1000_2.5,1
P1200,0
